zone_id,temperature,humidity,rainfall,leaf_wetness,wind_speed,night_temperature,crop,disease
1,24.523585398772155,79.73115604351216,1.4278401154466323,53.876370178162944,10.942933441120655,20.430965469183874,Tomato,1
2,17.80007946879752,63.336916689665244,6.810508345912492,29.335231401892855,2.5669464205648422,15.652235549498505,Grape,1
3,26.752255979032284,91.11670825411858,2.879913461883785,43.171755693992985,4.636203445318168,20.298374226160405,Olive,1
4,27.702823581956068,62.5861869534462,2.7174452415572574,44.914182093039344,9.091823019453555,22.441223253664027,Olive,1
5,13.244824056730819,62.450770753466465,20.064856017295995,31.97713745136528,7.600661678018199,7.791078329337972,Tomato,1
6,16.48910246568841,80.11697416206798,9.280758316151923,51.6978935902827,10.28743673054684,10.107901107952575,Olive,1
7,23.639202015836428,83.44389723505405,4.3138193346048315,32.85428496456812,3.081970410561609,20.944794603528017,Tomato,1
8,21.41878703828209,78.72149045904305,0.15677381573332896,36.36986869598129,9.428514705085284,17.673293656252667,Grape,1
9,22.915994212478555,46.71604023922788,0.7549696515813618,19.68524144971544,12.366334477509888,19.25889387545414,Olive,0
10,18.7347803621321,80.07051659892376,1.65227401476017,29.689458875713996,9.947274188597135,17.316273435963335,Tomato,0
11,27.396989874314144,56.485379224884014,4.82986648384368,21.41749841700655,8.556446959046367,23.924170174630632,Tomato,0
12,26.88895967714474,75.52914167382396,6.766609878962321,41.61271657042067,7.616465589736117,20.216200761391093,Tomato,1
13,23.33015348780608,50.643983469014096,2.2595262208576203,32.561728163043895,4.660595388913993,18.855477280218384,Grape,0
14,28.636206034840164,78.69483221314596,8.386627177655084,41.08408661253172,7.712005630240846,27.32832869053014,Olive,1
15,25.337546711260227,59.90101643538941,7.495253395825109,33.51256538245105,13.038823411521623,24.4492255345901,Tomato,0
16,18.70353768558381,52.76048024609217,3.1593155679805083,30.839061095454262,7.523885973599499,11.373985568087267,Tomato,0
17,24.843753920412496,82.707302047236,1.6731515171949762,30.783856950908508,4.44078404260636,21.024391940922754,Grape,1
18,18.205586995855008,75.62466782515126,0.34476104000610036,40.22444942062633,6.031011644938455,15.500407407258242,Tomato,1
19,27.39225150653636,62.79034797910654,6.376448878077134,39.911560469537626,8.80340118910372,23.940235036330368,Grape,0
20,22.750370445068736,93.76768273531596,5.103672981768138,67.10740600630997,6.505944011276612,21.7049859537034,Olive,1
21,22.075688182273698,65.39021367645387,7.796735059673562,32.654150677666436,9.941213132252562,15.229497883250458,Grape,0
22,19.595352277980293,72.48161510956402,11.755625450756986,38.35657274656438,10.091375042996122,16.38145815315235,Olive,0
23,29.11270669337015,76.033701715179,14.765677581381507,52.17943480952572,11.555932721618593,22.377903637893304,Grape,1
24,22.22735258965599,62.705010988070796,10.23671428052104,42.95945972034579,13.694237889060132,18.12404916076136,Olive,0
25,20.858360889184464,79.06704440099894,3.5675938761306565,34.15354785434035,11.983434897489444,13.999296940047584,Tomato,0
26,21.239332247558853,63.99821479252913,4.364533264520646,29.065521852814236,4.2630437434081605,16.72594324947268,Tomato,0
27,25.661545927766745,65.82542516675686,9.75989773127159,41.75840621580218,4.385862213694911,19.955080602028595,Grape,0
28,24.82722032182039,92.43963959705012,2.505086673254101,36.98123323139854,7.696914094160702,19.38903422964372,Tomato,0
29,25.06366305797994,56.391209212313505,2.683912428637559,24.238902184331007,6.195298571042342,19.817080925476,Olive,0
30,25.154105015039413,35.80829503605765,8.63943134178309,23.742019978599895,3.446693092156229,20.45823606067399,Grape,0
31,33.70823800435231,96.16405492517842,15.217127442388541,63.41503614881919,6.233232823308023,30.17393943658348,Olive,1
32,20.96792491807692,100.0,9.954981130401121,48.12719597488457,6.101948265523844,13.1370555349312,Tomato,1
33,20.438786354642314,65.92096101826002,8.758669566695048,21.93229241532767,5.312609040955177,18.252660324834117,Grape,1
34,18.93113635876061,42.94742939069722,4.810505049861649,7.841967525557385,6.736842055379977,14.922521074074291,Grape,0
35,26.07989711287748,67.34274035706085,2.4106593473040085,22.15745610487152,12.713803401273324,22.05012536246229,Tomato,1
36,28.644861463604457,67.70665575238996,7.964890469632145,26.334565718681706,8.796952164996958,23.839979956917414,Grape,1
37,22.430262711725625,69.15114238466614,13.627388232807128,40.7830385903862,17.88723630422188,19.289208003514627,Grape,1
38,18.79921761518736,55.29917937117227,3.683892336524803,18.320703357466527,8.682032744078597,14.169725004008184,Olive,0
39,18.877593921543802,80.69341713714716,2.952811273277253,33.05224705176839,6.839736904250993,15.215279091949736,Grape,0
40,26.252963939123504,79.86761062929129,3.0183127327036887,32.16238788948763,8.016531530619464,25.416868973999303,Tomato,0
41,26.71627085601721,49.5839157027104,6.5450137582467365,24.024710186033122,9.02596791377416,22.697166283503517,Grape,0
42,25.715771341525976,82.48795097542332,11.193952645343623,56.65477470740037,9.741015828684255,23.91690200758628,Grape,1
43,19.672451463556527,100.0,0.5528250409408935,50.737840748196845,16.306845303436095,19.14122298845433,Tomato,1
44,24.1608066153336,74.5794049865559,5.237868754905834,37.880062570082856,4.618718140089726,19.887059973954827,Tomato,0
45,23.583429045703642,66.94012256897241,1.4213753949263674,27.571945227331977,11.436184232710943,18.60766236166451,Tomato,1
46,24.093442983645065,69.86995178388717,17.465769777812273,41.94823287201488,8.831002390456495,19.040046899435914,Tomato,1
47,27.35714388974095,81.22885150452842,5.6864915922928425,43.72414821048766,1.7156090297175295,22.222802475701563,Grape,1
48,24.11797774387341,46.03992591739173,3.622226585443093,28.289100517999074,11.082795128379054,23.983155785754633,Tomato,0
49,26.394567815359473,74.46586054465953,6.06568753522022,31.10124722446816,13.07049424321562,25.11660167117441,Grape,1
50,23.33789534744446,66.14304075805785,1.0435723423737087,30.891072259938852,4.571294384890281,15.390852473817116,Tomato,0
51,24.44559699344992,99.71737519434069,1.7234215374318538,29.99859951809458,7.964264528432118,22.540014513603992,Grape,1
52,26.1564411291927,69.38740899292563,5.210006900207425,37.08604984034725,1.0985829519691857,20.934759066919323,Tomato,1
53,15.714220900721667,97.0183141667928,8.524837597814999,56.57530538897825,2.964774161262654,13.08809614405336,Olive,1
54,21.401643918213495,55.443889533269896,0.23227797823800728,22.895023657514855,12.19211831046901,17.242298439678365,Tomato,0
55,20.648136728536024,80.80888750204188,11.456350024984703,60.061295365027455,6.134333975970262,17.914645133083212,Grape,1
56,19.80561075878329,76.79100395686844,3.7712078216376828,30.523010458412536,3.564788100247843,14.682528449543998,Tomato,0
57,21.624288743866583,58.96429128202826,8.808246245634383,35.32005139584631,8.917841457833719,17.350740509233184,Tomato,1
58,30.47470655617198,74.6609417195541,6.733359256616486,38.69751320576489,5.910350274275907,27.37128610346045,Grape,1
59,18.670844421533783,90.187782552474,16.016255320099255,52.59512506514544,6.116713368897855,16.771188660895202,Olive,1
60,27.841391772957405,67.14312443570098,6.60239962721773,34.58174835380165,10.957304102699613,23.305843377972383,Olive,1
61,14.585651141920977,46.62056026245355,11.172723017649984,30.77427077229986,3.3530665642626136,13.011088740006157,Tomato,0
62,21.325574850071124,71.73655760283832,3.12747792714769,41.56710321070499,4.378539149272671,16.470612765829447,Tomato,1
63,23.81376532552503,58.463653578112314,1.0610232303721312,38.1793525846462,8.616319968595475,14.560795507451228,Grape,0
64,25.93111165679639,66.86488592004176,9.76090820188342,37.87992326949227,11.877639162992821,19.230771554272366,Grape,1
